batch_id,equipment_id,tag_name,value,uom,timestamp
BATCH-2000,UF-SKID-01,TMP,18.28,psi,2026-08-01T06:00:00+00:00
BATCH-2000,UF-SKID-01,PERMEATE_FLUX,60.1,LMH,2026-08-01T06:00:00+00:00
BATCH-2000,UF-SKID-01,COND,1.91,mS/cm,2026-08-01T06:00:00+00:00
BATCH-2000,UF-SKID-01,TMP,17.45,psi,2026-08-01T06:05:00+00:00
BATCH-2000,UF-SKID-01,PERMEATE_FLUX,62.95,LMH,2026-08-01T06:05:00+00:00
BATCH-2000,UF-SKID-01,COND,2.07,mS/cm,2026-08-01T06:05:00+00:00
BATCH-2000,UF-SKID-01,TMP,18.78,psi,2026-08-01T06:10:00+00:00
BATCH-2000,UF-SKID-01,PERMEATE_FLUX,60.35,LMH,2026-08-01T06:10:00+00:00
BATCH-2000,UF-SKID-01,COND,1.97,mS/cm,2026-08-01T06:10:00+00:00
BATCH-2000,UF-SKID-01,TMP,17.06,psi,2026-08-01T06:15:00+00:00
BATCH-2000,UF-SKID-01,PERMEATE_FLUX,60.87,LMH,2026-08-01T06:15:00+00:00
BATCH-2000,UF-SKID-01,COND,2.0,mS/cm,2026-08-01T06:15:00+00:00
BATCH-2000,UF-SKID-01,TMP,17.05,psi,2026-08-01T06:20:00+00:00
BATCH-2000,UF-SKID-01,PERMEATE_FLUX,60.8,LMH,2026-08-01T06:20:00+00:00
BATCH-2000,UF-SKID-01,COND,2.06,mS/cm,2026-08-01T06:20:00+00:00
BATCH-2000,UF-SKID-01,TMP,18.09,psi,2026-08-01T06:25:00+00:00
BATCH-2000,UF-SKID-01,PERMEATE_FLUX,60.88,LMH,2026-08-01T06:25:00+00:00
BATCH-2000,UF-SKID-01,COND,2.04,mS/cm,2026-08-01T06:25:00+00:00
BATCH-2000,UF-SKID-01,CIP_TEMP,58,C,2026-08-01T08:00:00+00:00
BATCH-2000,UF-SKID-01,CIP_TEMP,63,C,2026-08-01T08:03:00+00:00
BATCH-2000,UF-SKID-01,CIP_TEMP,70,C,2026-08-01T08:06:00+00:00
BATCH-2000,UF-SKID-01,CIP_TEMP,74,C,2026-08-01T08:09:00+00:00
BATCH-2000,UF-SKID-01,CIP_TEMP,76,C,2026-08-01T08:12:00+00:00
BATCH-2000,UF-SKID-01,CIP_TEMP,75,C,2026-08-01T08:15:00+00:00
BATCH-2000,UF-SKID-01,CIP_TEMP,73,C,2026-08-01T08:18:00+00:00
BATCH-2000,UF-SKID-01,CIP_TEMP,71,C,2026-08-01T08:21:00+00:00
BATCH-2000,UF-SKID-01,CIP_TEMP,68,C,2026-08-01T08:24:00+00:00
BATCH-2000,UF-SKID-01,CIP_TEMP,60,C,2026-08-01T08:27:00+00:00
BATCH-2001,UF-SKID-01,TMP,18.62,psi,2026-08-02T06:00:00+00:00
BATCH-2001,UF-SKID-01,PERMEATE_FLUX,55.83,LMH,2026-08-02T06:00:00+00:00
BATCH-2001,UF-SKID-01,COND,2.12,mS/cm,2026-08-02T06:00:00+00:00
BATCH-2001,UF-SKID-01,TMP,18.4,psi,2026-08-02T06:05:00+00:00
BATCH-2001,UF-SKID-01,PERMEATE_FLUX,57.16,LMH,2026-08-02T06:05:00+00:00
BATCH-2001,UF-SKID-01,COND,1.86,mS/cm,2026-08-02T06:05:00+00:00
BATCH-2001,UF-SKID-01,TMP,18.91,psi,2026-08-02T06:10:00+00:00
BATCH-2001,UF-SKID-01,PERMEATE_FLUX,57.15,LMH,2026-08-02T06:10:00+00:00
